Count,Date,CITY,viol2017,prop2017,violChan,propChan,longg,latt
1,12/31/12 23:15,Adarsh Nagar,643.124,2722.07,0.7971191,273.9556,77.173582,28.7192604
2,12/31/12 22:00,Ambedkar Nagar,29.62655,1281.254,-41.90421,-197.0485,77.2369229,28.5183848
3,12/31/12 22:00,Babarpur,161.1469,2084.331,-33.80519,-154.1372,77.2821608,28.6876088
4,12/31/12 22:00,Badarpur,241.621,632.725,123.987,545.523,77.3018279,28.5039606
5,12/31/12 21:30,Badli,308.1597,2453.904,-55.53287,-418.4377,77.1442022,28.7324287
6,12/31/12 20:30,Ballimaran,257.7862,2101.337,-66.43478,-500.7441,77.2265467,28.6533449
7,12/31/12 20:10,Bawana,72.29074,2409.78,-43.56437,242.6074,77.0463008,28.8054651
8,12/31/12 20:00,Burari,231.7953,1782.428,-262.6714,-972.4574,77.1930872,28.7514472
9,12/31/12 19:00,Chandni Chowk,445.7224,2187.119,95.73962,-264.7832,77.2303284,28.6505942
10,12/31/12 18:00,Chhatarpur,308.832,1892.26,-76.7854,32.52698,77.1848254,28.4958562
11,12/31/12 18:00,Delhi Cantt,383.601,2071.351,-251.2685,111.9572,77.1587375,28.5961279
12,12/31/12 17:00,Deoli,1013.812,3406.736,-180.2809,-968.7913,77.2376414,28.4962152
13,12/31/12 16:30,Dwarka,145.8785,2219.821,-170.4466,186.6301,77.0460481,28.5921401
14,12/31/12 16:20,Gandhi Nagar,616.5249,2017.035,9.298645,-104.1356,77.2740109,28.6661232
15,12/31/12 16:15,Ghonda,211.2861,1722.631,-104.3021,-78.75562,77.2656588,28.6903201
16,12/31/12 16:00,Gokalpur,373.8871,1937.214,-100.4564,-383.6351,77.1042884,28.6100202
17,12/31/12 16:00,Greater Kailash,190.8313,2998.515,-91.59016,-527.4736,77.2395479,28.5428238
18,12/31/12 16:00,Hari Nagar,762.3436,4296.758,-274.3238,-464.2324,77.1108681,28.6248596
19,12/31/12 14:36,Janakpuri,72.40305,2979.801,-402.2555,-1487.263,77.0878385,28.621899
20,12/31/12 13:45,Jangpura,142.138,2802.904,-48.14333,-186.8921,77.2485251,28.5821032
21,12/31/12 13:15,Kondli,245.7358,2656.179,-37.47247,-389.8037,77.325467,28.6122868
22,12/31/12 10:00,Karawal Nagar,123.6489,2282.358,-26.54243,-226.4978,77.276926,28.7283102
23,12/31/12 9:30,Karol Bagh,12.00719,1063.77,-49.20481,-46.20764,77.1921441,28.6527809
24,12/31/12 9:00,Kasturaba Nagar,154.3246,2789.948,-44.4361,-612.3667,77.2243977,28.5777976
25,12/31/12 8:20,Kalkaji,86.15489,1421.105,-83.17299,-236.5254,77.2597274,28.5374198
26,12/31/12 8:05,Madipur,41.81674,1377.798,-21.17822,540.8646,77.1194824,28.6764174
27,12/31/12 7:05,Malviya Nagar,155.747,1573.317,4.832764,-299.0729,77.2108857,28.5335197
28,12/31/12 7:00,Matiala,348.006,2311.794,-114.2206,20.9436,77.054325,28.6094086
29,12/31/12 7:00,Matia Mahal,220.203,1878.148,3.323486,-257.2813,77.2340489,28.6486089
30,12/31/12 6:50,Mehrauli,107.9354,3332.735,-73.20242,-447.2722,77.1789831,28.5212083
31,12/31/12 5:45,Mangol Puri,222.7715,2197.805,-33.18144,-278.3369,77.0884237,28.6925367
32,12/31/12 3:00,Model Town,75.68995,1250.454,-14.61515,-133.7937,77.1910738,28.7158727
33,12/31/12 3:00,Moti Nagar,163.5421,1249.038,-102.2799,-492.5677,77.1410809,28.6623452
34,12/31/12 3:00,Mundka,82.70171,2365.723,-93.45638,-345.4602,77.0304692,28.6824104
35,12/31/12 2:00,Mustafabad,350.5294,2992.962,10.17395,238.9744,77.2681086,28.7113968
36,12/31/12 1:00,Najafgarh,282.4875,2799.124,-56.94333,-347.4922,76.9912041,28.6059771
37,12/31/12 0:01,Nangloi Jat,593.9616,7707.609,-113.9626,-1784.664,77.0632942,28.6841206
38,12/31/12 0:00,Narela,933.1285,2612.266,-63.59277,180.9922,77.0917838,28.8539597
39,12/31/12 0:00,Okhla,71.17448,1963.527,-58.38373,-314.1309,77.2913315,28.56028
40,12/31/12 0:00,Palam,84.28444,2281.833,-19.14463,774.1554,77.0780316,28.5884993
41,12/30/12 23:00,Patel Nagar,224.0174,3421.918,-116.1396,-740.1584,77.16888,28.6544346
42,12/30/12 22:30,Patparganj,194.0888,2280.37,-24.97812,-9.690674,77.292355,28.6199877
43,12/30/12 22:00,Rajinder Nagar,403.7008,1371.646,84.15961,113.9642,77.1823638,28.6372353
44,12/30/12 22:00,Rajouri Garden,407.6009,4803.234,16.52542,-7.495605,77.1209145,28.6415294
45,12/30/12 21:00,Rithala,107.2692,1619.368,-5.725166,-174.4175,77.1071206,28.7208443
46,12/30/12 20:00,R.K. Puram,157.2131,1698.455,-8.909546,-18.14563,77.1767435,28.5660075
47,12/30/12 20:00,Rohtas Nagar,271.6555,3476.471,41.55882,-573.2297,77.0724558,28.6074901
48,12/30/12 19:46,Rohini,821.1254,3027.756,4.683899,-878.4937,77.0565333,28.7494716
49,12/30/12 18:30,Sadar Bazar,64.6468,1506.552,-36.95608,98.12622,77.2122028,28.6569553
50,12/30/12 18:30,Sangam Vihar,267.0037,2945.627,-24.92517,425.4536,77.2389974,28.498909
51,12/30/12 18:30,Shahdara,198.8408,1744.03,-125.9077,88.71448,77.2925771,28.6987568
52,12/30/12 18:00,Shakur Basti,297.5272,1771.112,-48.81982,-409.912,77.1285101,28.6817707
53,12/30/12 18:00,Shalimar Bagh,255.5445,1708.944,-85.24065,-107.441,77.1545846,28.7164134
54,12/30/12 18:00,Seelam Pur,223.539,3249.67,-15.33301,-368.3674,77.2711667,28.6640177
55,12/30/12 16:00,Seemapuri,184.8326,1448.795,-15.45667,-118.5481,77.3288529,28.6877187
56,12/30/12 15:30,Sultan Pur Majra,340.4272,1936.809,-8.213806,-299.3706,77.0805496,28.6958531
57,12/30/12 15:00,Timarpur,236.4001,1018.077,-291.9845,103.0692,77.2207566,28.7003675
